Devices
1000
,,DelSys EMG - Voltage,,,Delsys ACC - Acceleration,,
Frame,Sub Frame,Right TA,Right GL,Right GM,1,2
,,V,V,V,mm/s²,mm/s²
84,3,-0.0129603,0.0369802,-0.0206089,-557.59,23363.4
84,4,0.0132848,0.0321355,-0.0172901,-250.729,23279.6
85,0,0.0215627,0.0307241,-0.0147724,104.782,23234.7
85,1,0.00653282,0.0362936,-0.0129414,411.644,23138.9
85,2,0.00386253,0.0363317,-0.0224018,205.822,23183.8
85,3,0.00229851,0.0391927,-0.0215626,-333.057,23201.8
85,4,0.00214592,0.034844,-0.0177479,-351.768,23138.9
86,0,0.0138189,0.0317541,-0.0110722,-3.74222,23088
86,1,0.0259878,0.0346151,-0.0167561,830.772,22932.3
86,2,0.0172903,0.0349966,-0.02038,329.315,23031.1
86,3,0.00428215,0.039002,-0.0228596,-130.978,23064
86,4,0.00855461,0.0347295,-0.0182819,-950.523,22998.2
87,0,0.0169851,0.0308004,-0.0143147,18.7111,23007.2
87,1,0.00687614,0.03122,-0.0147343,299.377,22974.2
87,2,-0.00109657,0.0342336,-0.0192738,516.426,22974.2
87,3,-0.00643715,0.0404134,-0.0231266,0,23025.1
87,4,-0.0173853,0.0359502,-0.0173664,-804.577,23052.1
88,0,-2.84575e-05,0.0332037,-0.0183582,-37.4222,23055.1
88,1,0.0222494,0.0253454,-0.0140095,48.6488,23010.2
88,2,0.015154,0.0345007,-0.018816,643.661,23046.1
88,3,-0.00281319,0.0380483,-0.0223255,-7.48444,23070
88,4,0.0104238,0.0339666,-0.0207233,-280.666,23195.8
89,0,0.0175573,0.0332418,-0.0196552,-381.706,23138.9
89,1,0.0179388,0.0256887,-0.0137806,-3.74222,23055.1
89,2,0.0242712,0.0330511,-0.0180531,538.879,23031.1
89,3,0.018778,0.0367513,-0.0228214,29.9377,23064
89,4,0.0133611,0.0354543,-0.0263309,-396.675,23094
90,0,0.00439659,0.0351492,-0.019083,-1160.09,23058.1
90,1,0.014887,0.0302663,-0.0152683,-41.1644,23001.2
90,2,0.00603691,0.033547,-0.0197315,325.573,22974.2
90,3,-0.0118922,0.0364843,-0.019846,-59.8755,22959.3
90,4,-0.00460609,0.0367513,-0.0324345,-415.386,22932.3
91,0,0.00309959,0.0376287,-0.0193501,-1422.04,22983.2
91,1,-0.00628456,0.0331655,-0.0155354,-168.4,22899.4
91,2,0.00538841,0.0321737,-0.0199986,291.893,22851.5
91,3,0.0108053,0.0361791,-0.0208759,-59.8755,22869.4
91,4,-0.00227913,0.0414816,-0.027132,-217.049,22884.4
92,0,0.00779167,0.0375524,-0.0207615,-849.484,22950.3
92,1,0.0251867,0.0336996,-0.0173664,-258.213,22911.4
92,2,0.0284673,0.0324407,-0.0181675,33.68,22878.4
92,3,0.00458733,0.0353399,-0.0191593,183.369,22881.4
92,4,0.00721947,0.041329,-0.0232029,-86.071,22935.3
93,0,0.0219442,0.0383154,-0.0206852,-370.48,23016.1
93,1,0.0119878,0.0333562,-0.0184345,-138.462,22998.2
93,2,0.00447289,0.0321355,-0.0136662,333.057,22992.2
93,3,0.00191704,0.0359884,-0.0169849,666.115,22911.4
93,4,-0.0163172,0.0363699,-0.0210667,-71.1021,23082
94,0,-0.0332926,0.037972,-0.0217533,-284.409,23168.8
94,1,-0.0252436,0.0345388,-0.0180912,-419.128,23192.8
94,2,-0.0263117,0.0318685,-0.0100422,82.3288,23240.7
94,3,-0.041189,0.0342718,-0.017252,767.155,23201.8
94,4,-0.0324152,0.032517,-0.0211048,441.582,23333.5
95,0,-0.0298594,0.0397649,-0.0220966,-149.689,23429.3
95,1,-0.0179194,0.035111,-0.0183201,-460.293,23486.2
95,2,-0.0236414,0.0304189,-0.0114155,-56.1333,23540
95,3,-0.0163172,0.0337377,-0.0158024,-11.2267,23528.1
95,4,-0.0110911,0.034844,-0.020647,127.235,23596.9
96,0,-0.0237177,0.0384679,-0.0227833,-138.462,23647.8
96,1,0.00103966,0.035378,-0.0191212,-422.871,23755.6
96,2,0.00702873,0.03122,-0.0155354,-400.417,23731.7
96,3,-0.0101374,0.0320593,-0.0140095,-71.1021,23695.7
96,4,-0.00903114,0.033814,-0.0199604,359.253,23635.8
97,0,-0.0155924,0.038735,-0.0223255,-22.4533,23716.7
97,1,-0.0273798,0.0367132,-0.0183201,-437.84,23821.5
97,2,-0.0231074,0.0321737,-0.0180149,-531.395,23746.6
97,3,-0.0322626,0.0253072,-0.0142002,-157.173,23680.8
97,4,-0.0237559,0.0345007,-0.0187016,449.066,23653.8
